name,tpi,class,dMinorMin,dMinorMax,dPitchMin,dPitchMax,dMajorMin,dMajorMax
0-80,80,2B,0.0465,0.0514,0.0519,0.0542,0.06,0.0633
1-64,64,2B,0.0561,0.0623,0.0629,0.0655,0.073,0.0768
1-72,72,2B,0.058,0.0635,0.064,0.0665,0.073,0.0766
2-56,56,2B,0.0667,0.0737,0.0744,0.0772,0.086,0.0901
2-64,64,2B,0.0691,0.0753,0.0759,0.0786,0.086,0.0899
3-48,48,2B,0.0764,0.0845,0.0855,0.0885,0.099,0.1035
3-56,56,2B,0.0797,0.0865,0.0874,0.0902,0.099,0.1032
4-40,40,2B,0.0849,0.0939,0.0958,0.0991,0.112,0.1170
4-48,48,2B,0.0894,0.0968,0.0985,0.1016,0.112,0.1167
5-40,40,2B,0.0979,0.1062,0.1088,0.1121,0.125,0.1301
5-44,44,2B,0.1004,0.1079,0.1102,0.1134,0.125,0.1299
6-32,32,2B,0.104,0.114,0.1177,0.1214,0.138,0.1438
6-40,40,2B,0.111,0.119,0.1218,0.1252,0.138,0.1433
8-32,32,2B,0.13,0.139,0.1437,0.1475,0.164,0.1700
8-36,36,2B,0.134,0.142,0.146,0.1496,0.164,0.1697
10-24,24,2B,0.145,0.156,0.1629,0.1672,0.19,0.197
10-32,32,2B,0.156,0.164,0.1697,0.1736,0.19,0.1963
1/4-20,20,2B,0.196,0.207,0.2175,0.2248,0.25,0.261
1/4-28,28,2B,0.211,0.22,0.2268,0.2311,0.25,0.2573
5/16-18,18,2B,0.252,0.265,0.2764,0.2817,0.3125,0.3217
5/16-24,24,2B,0.267,0.277,0.2854,0.2902,0.3125,0.3209
3/8-16,16,2B,0.307,0.321,0.3344,0.3401,0.375,0.3852
3/8-24,24,2B,0.33,0.34,0.3479,0.3528,0.375,0.3841
7/16-14,14,2B,0.36,0.376,0.3911,0.3972,0.4375,0.4488
7/16-20,20,2B,0.383,0.395,0.405,0.4104,0.4375,0.4478
1/2-13,13,2B,0.417,0.434,0.45,0.4565,0.5,0.5123
1/2-20,20,2B,0.446,0.457,0.4675,0.4731,0.5,0.5110
5/8-11,11,2B,0.527,0.546,0.566,0.5732,0.625,0.6393
5/8-18,18,2B,0.565,0.578,0.5889,0.5949,0.625,0.6377
3/4-10,10,2B,0.642,0.663,0.685,0.6927,0.75,0.7660
3/4-16,16,2B,0.682,0.696,0.7094,0.7159,0.75,0.7644
7/8-9,9,2B,0.755,0.778,0.8028,0.811,0.875,0.8928
7/8-14,14,2B,0.798,0.814,0.8286,0.8356,0.875,0.8912
1-8,8,2B,0.865,0.89,0.9188,0.9276,1,1.0197
1-12,12,2B,0.91,0.928,0.9459,0.9535,1,1.0181
11/8-7,7,2B,0.97,0.998,1.0322,1.0416,1.125,1.1466
11/8-12,12,2B,1.035,1.053,1.0709,1.0787,1.125,1.1445
11/4-7,7,2B,1.095,1.123,1.1572,1.1668,1.25,1.273
11/4-12,12,2B,1.16,1.178,1.1959,1.2039,1.25,1.2709
13/8-6,6,2B,1.195,1.225,1.2667,1.2771,1.375,1.4002
13/8-12,12,2B,1.285,1.303,1.3209,1.3291,1.375,1.3974
11/2-6,6,2B,1.32,1.35,1.3917,1.4022,1.5,1.5264
11/2-12,12,2B,1.41,1.428,1.4459,1.4542,1.5,1.5237
13/4-5,5,2B,1.534,1.568,1.6201,1.6317,1.75,1.7802
2-6,6,2B,1.82,1.85,1.8917,1.9028,2,2.0319
